matrix_subject,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that,uid,genre
1,-6.649312891356779,0,-4.6980515589636065,1,2,0,1,-1,0,5.7745515455444085,3
4,-6.702337359664999,0,-8.297032990361895,4,6,0,0,6,0,5.308267697401205,3
2,-6.149818833600338,0,-5.181892985424519,1,2,0,1,-1,0,10,3
3,-6.199464064089503,0,-6.149818833600338,3,10,0,1,10,0,0.9207918647549467,3
2,-6.149818833600338,1,-3.4125694778058655,3,2,0,1,-1,0,3.8501476017100584,3
1,-7.061845166688036,0,-3.4125694778058655,3,8,0,1,8,0,3.791736839553644,3
1,-6.649312891356779,0,-4.6980515589636065,1,8,0,1,-1,0,10,3
4,-7.328473829941984,0,-3.4125694778058655,2,4,0,1,-2,0,1.54663701119507,3
4,-10.401167144632103,0,-6.542544915931073,4,9,0,0,9,0,1.3862943611198906,3
4,-6.199464064089503,0,-5.181892985424519,1,11,0,1,11,0,1.766441661243765,3
4,-8.714768191061875,0,-4.6980515589636065,3,1,0,1,-1,0,3.3141860046725258,3
4,-6.199464064089503,0,-4.6980515589636065,3,8,0,1,8,0,0.9207918647549467,3
4,-6.199464064089503,0,-7.190323491461167,3,9,0,1,9,0,1.9416996165189697,3
1,-9.445655699604668,0,-8.752508519044722,1,15,0,1,15,0,1.791759469228055,3
1,-8.752508519044722,0,-6.415893677464364,3,2,0,1,-1,0,5.7745515455444085,3
1,-8.752508519044722,0,-8.752508519044722,3,8,0,1,-1,0,0.5753641449035618,3
1,-10.911992768398093,0,-7.950162046519784,4,6,0,2,-3,1,10,3
1,-6.649312891356779,0,-7.158574793146586,1,2,0,1,-1,0,1.0045833390198333,3
1,-6.649312891356779,0,-3.4125694778058655,4,2,0,10,-8,0,1.0045833390198333,3
1,-6.999969762969948,0,-6.702337359664999,1,31,0,1,9,0,2.17742195004004,81
1,-6.999969762969948,0,-3.4125694778058655,4,31,0,3,-3,1,10,81
4,-8.609407675404048,0,-8.64330922707973,4,5,0,0,-1,0,10,81
4,-8.64330922707973,0,-7.310124691273788,4,7,0,0,-5,0,10,81
4,-7.310124691273788,0,-3.4125694778058655,4,14,0,3,-3,1,10,81
4,-7.310124691273788,0,-7.851721973706532,4,14,0,0,-9,1,10,81
4,-3.4125694778058655,0,-9.120233299170039,1,1,0,1,-8,0,3.8501476017100584,81
1,-9.120233299170039,0,-3.4125694778058655,1,12,0,1,-3,1,10,81
1,-8.347043410936557,0,-6.542544915931073,4,8,0,0,-4,0,1.3609765531356008,81
1,-6.542544915931073,0,-3.4125694778058655,3,6,0,11,-4,1,10,81
4,-6.649312891356779,0,-5.181892985424519,3,8,0,1,8,0,10,107
1,-7.747925180024889,0,-3.4125694778058655,3,11,0,1,11,0,5.2390980068880655,107
1,-7.747925180024889,0,-6.702337359664999,3,9,0,1,9,0,1.864784604242945,107
3,-6.199464064089503,0,-6.702337359664999,4,10,0,2,10,0,0.9207918647549467,107
1,-9.371547727450945,0,-5.181892985424519,3,1,0,1,-1,0,0.6190392084062235,107
3,-7.747925180024889,0,-5.181892985424519,3,14,0,1,14,0,1.766441661243765,107
1,-6.199464064089503,0,-6.904659583165623,1,9,0,1,9,0,0.9207918647549467,107
4,-3.4125694778058655,0,-9.238016334826423,4,2,0,4,-6,0,3.8501476017100584,107
4,-9.238016334826423,0,-3.4125694778058655,3,14,0,1,-1,0,2.772588722239781,107
4,-6.199464064089503,0,-4.6980515589636065,4,13,0,2,13,0,0.9207918647549467,107
3,-6.199464064089503,0,-6.702337359664999,4,1,0,3,-1,0,0.9207918647549467,107
4,-7.967553789231654,0,-3.4125694778058655,3,3,0,1,-1,0,2.4336133554004498,107
